Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Christian Chamberlain","KCR","SIRP","AA","23.2361111",,21,"45 / 60","","60 / 60","40 / 45","30 / 35","40",49,0.2962963,0.19341564,0.30578512,6.244897959183674,5.711118989361792,"sa3014486"
"Will Klein","KCR","SIRP","AA","22.8805555",,35,"60 / 60","","55 / 60","","30 / 35","35+",43.2,0.23706897,0.21982759,0.43220339,10.511449157313088,6.324990474517184,"sa3014487"
"Trent Palmer","TOR","MIRP","AA","23.5333333",,31,"40 / 45","50 / 50","","60 / 60","30 / 40","35+",55.1,0.27822581,0.09274194,0.49315068,3.9036140093040457,4.024145959913579,"sa3014491"
"Nick Frasso","LAD","SP","AA","23.9916666",,20,"45 / 55","","40 / 45","40 / 50","30 / 50","40+",54,0.35849057,0.08018868,0.42608696,1.8333330095550733,2.8901348333254457,"sa3014492"
"Burl Carraway","CHC","SIRP","AA","23.3833333",,51,"65 / 70","","70 / 70","","20 / 30","35+",10,0.11290323,0.38709677,0.48148148,9,11.872495019435881,"sa3014495"
"Joe Boyle","CIN","SIRP","AA","23.1694444",,50,"80 / 80","50 / 55","","","20 / 30","35+",100.2,0.36515513,0.20047733,0.38728324,2.860927441419128,4.100792162939297,"sa3014498"
"Nick Garcia","PIT","SP","A","23.4861111",,35,"40 / 45","45 / 50","40 / 45","50 / 55","30 / 50","40",113,0.23340471,0.09850107,0.4261745,3.663716814159292,4.46224111581007,"sa3014501"
"Carmen Mlodzinski","PIT","MIRP","AA","23.6555555",,31,"50 / 50","50 / 50","","40 / 45","35 / 50","40",105.1,0.24130435,0.08695652,0.37666667,4.784810357627886,4.546616925732469,"sa3014505"
"Koen Moreno","CHC","SP","A","21.2055555",,45,"40 / 50","","45 / 50","35 / 50","35 / 55","35+",28,0.25490196,0.26143791,0.34782609,9.964285714285714,7.304694515732782,"sa3014509"
"Ian Seymour","TBR","MIRP","AA","23.8388888",,16,"45 / 45","50 / 55","","50 / 55","50 / 55","45",16.2,0.28395062,0.14814815,0.30434783,8.099998455047903,4.985943995020223,"sa3014512"
"Kyle Harrison","SFG","SP","AA","21.175",21,2,"55 / 60","60 / 60","","45 / 60","40 / 50","55",113,0.39828694,0.10492505,0.36986301,2.7079646017699117,2.906835975689171,"sa3014513"
"Luke Little","CHC","SIRP","A+","22.125",,36,"70 / 70","50 / 55","","","30 / 35","40",65.2,0.35438596,0.13333333,0.55639098,2.4670048850583393,3.404010894326752,"sa3014514"
"Justin Lange","NYY","SP","CPX","21.0944444",,17,"55 / 60","40 / 50","","40 / 50","20 / 45","40+",36.1,0.29651163,0.1744186,0.37837838,6.440367874057017,4.666272910824124,"sa3014517"
"Landon Knack","LAD","SP","AA","25.75",,13,"60 / 60","","50 / 55","45 / 50","40 / 50","45",64.2,0.28368794,0.09574468,0.36842105,5.010310066507881,4.162199474780423,"sa3014518"
