Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Randy Vasquez","NYY","MIRP","AA","23.7583333",,20,"50 / 50","","70 / 70","40 / 45","40 / 45","40",107.1,0.28634361,0.08370044,0.56505576,2.515528024813493,3.439067800372075,"sa3007933"
"Durbin Feltman","BOS","SIRP","AAA","25.3",,56,"55 / 55","55 / 55","45 / 50","","35 / 40","35+",51.2,0.29951691,0.06763285,0.36923077,2.9612906869815316,3.941191122784277,"sa3007959"
"Anderson Paulino","KCR","SIRP","A+","23.9",,46,"60 / 60","50 / 55","","","40 / 40","35+",86.2,0.21938776,0.06122449,0.57086614,4.569231204986614,3.8216536698517465,"sa3007991"
"Chris Vallimont","BAL","MIRP","AAA","25.3833333",,35,"50 / 55","50 / 55","45 / 50","40 / 45","30 / 40","40",94,0.31701632,0.14219114,0.25438596,5.840425531914893,4.731297340434282,"sa3008026"
"Antonio Jimenez","TBR","SP","A","21.25",,35,"45 / 55","55 / 60","","40 / 50","30 / 50","40",48,0.32989691,0.07216495,0.54,2.6249998956918756,3.5158053844069874,"sa3008074"
"Thad Ward","BOS","MIRP","AA","25.5555555",,17,"45 / 50","50 / 55","45 / 45","40 / 45","40 / 45","40+",8,0.28205128,0.12820513,0.60869565,5.625,4.0143291119486095,"sa3008098"
"Grayson Rodriguez","BAL","SP","AAA","22.7222222",8,2,"70 / 70","70 / 70","60 / 60","70 / 80","40 / 50","60",103,0.40452261,0.0678392,0.37878788,2.3592236067867325,2.6637552944723777,"sa3008130"
"Abner Uribe","MIL","SIRP","AA","22.1277777",,14,"70 / 70","60 / 70","","","20 / 35","40+",33.2,0.34666667,0.16666667,0.42647059,4.00990038429481,4.338681330356764,"sa3008177"
"Ryan Rolison","COL","SP","AAA","25.0694444",,20,"40 / 40","40 / 45","60 / 60","40 / 45","45 / 50","40",71.2,0.25163399,0.07189542,0.42211055,5.274418230319836,4.751491613837929,"sa3008244"
"Blake Rivera","SFG","SIRP","AA","24.575",,54,"55 / 55","","60 / 60","","40 / 40","35+",24.1,0.28440367,0.0733945,0.62686567,4.808219806229553,3.7389941160394593,"sa3008261"
"J.P. France","HOU","MIRP","AAA","27.3388888",,34,"45 / 45","50 / 50","50 / 50","40 / 40","50 / 50","35+",114,0.32172131,0.10655738,0.36231884,3.789473684210526,4.594940804020096,"sa3008310"
"Lenny Torres","CLE","SP","A+","21.8083333",,31,"45 / 45","50 / 50","","45 / 55","40 / 50","40",68.2,0.22324159,0.14678899,0.46073298,6.291263067932584,5.448757554251403,"sa3008329"
"Rafael Marcano","PHI","SIRP","A+","22.2944444",,31,"50 / 55","","55 / 55","30 / 35","30 / 50","35+",57,0.28458498,0.10671937,0.47183099,3.631578825847598,3.752808960918349,"sa3008330"
"Eduar Segovia","PHI","SIRP","A","21.5722222",,21,"45 / 50","50 / 55","","30 / 45","30 / 40","40",50,0.29646018,0.13716814,0.3220339,5.58,4.814476760476827,"sa3008374"
"Simeon Woods Richardson","MIN","SP","AA","21.8583333",,9,"40 / 45","40 / 45","50 / 50","55 / 60","50 / 60","45",53.1,0.32083333,0.14166667,0.32786885,5.906250563263947,4.163309352232824,"sa3008423"
"Gustavo J. Rodriguez","STL","SIRP","A","21.5777777",,23,"55 / 60","","45 / 50","30 / 45","20 / 45","35+",48.1,0.22317597,0.12875536,0.39583333,7.262069729726829,4.843368817969604,"sa3008438"
"Levi Kelly","ARI","MIRP","AA","23.2277777",,40,"45 / 50","60 / 70","50 / 50","","20 / 35","35+",25,0.23893805,0.24778761,0.30909091,5.4,6.719536032676697,"sa3008500"
"Reese Olson","DET","SP","AA","23.0166666",,5,"55 / 55","60 / 60","50 / 55","60 / 60","30 / 40","45",104.2,0.25968109,0.11617312,0.45318352,3.9554138926058395,4.45746804495224,"sa3008513"
"Mike Burrows","PIT","SIRP","AAA","22.7444444",,11,"55 / 55","","70 / 70","40 / 45","40 / 40","45",49,0.34196891,0.10362694,0.2970297,2.204081632653061,4.361109611087916,"sa3008517"
"Zach Haake","KCR","SIRP","AA","25.8277777",,53,"50 / 50","55 / 55","","40 / 45","30 / 35","35+",53.2,0.26244344,0.1040724,0.39855072,3.3540369492016007,4.571327957494143,"sa3008523"
"Tristan Beck","SFG","SP","AAA","26.1166666",,22,"50 / 50","","55 / 55","55 / 55","40 / 50","40",37.1,0.22807018,0.08187135,0.46017699,6.267857676562043,4.603161950840233,"sa3008526"
"Victor Vodnik","ATL","SIRP","AAA","22.825",,21,"60 / 65","45 / 45","","50 / 55","30 / 40","40",33.2,0.27333333,0.14666667,0.53488372,5.346533845726414,4.03027615428992,"sa3008527"
"Adam Kloffenstein","TOR","SP","AA","21.9472222",,38,"45 / 50","50 / 55","40 / 45","40 / 50","30 / 50","35+",101.1,0.22961373,0.13090129,0.52982456,6.217105575215469,5.08910008501909,"sa3008578"
"Cody Morris","CLE","MIRP","AAA","25.7555555",,22,"55 / 55","","50 / 55","60 / 60","40 / 45","40+",61,0.3875,0.08333333,0.41129032,1.6229507689256897,2.863025083150724,"sa3008653"
"Cole Winn","TEX","SP","AAA","22.6972222",43,3,"50 / 55","55 / 55","55 / 55","55 / 60","45 / 55","50",86,0.32228916,0.09337349,0.36413043,2.4069767441860463,4.08328749825095,"sa3008662"
"Wikelman Gonzalez","BOS","SP","A","20.3638888",,5,"55 / 60","50 / 55","","55 / 60","25 / 50","45+",52.2,0.30555556,0.07407407,0.392,2.9050631157921467,4.04690946957932,"sa3008687"
"Juan Daniel Encarnacion","BOS","SP","A","21.35",,43,"40 / 50","45 / 55","","40 / 50","30 / 45","35+",45.2,0.3027027,0.05945946,0.31313131,2.956204050305883,4.026554239633799,"sa3008697"
"Reny Artiles","CLE","SP","A","20.5527777",,51,"40 / 45","45 / 50","45 / 50","45 / 50","30 / 45","35+",27.1,0.3553719,0.09917355,0.48484848,4.939024964661129,3.5292778425787867,"sa3008716"
"Samuel Valerio","KCR","SIRP","CPX","20.8277777",,42,"60 / 60","","40 / 45","45 / 50","30 / 45","35+",10.2,0.11764706,0.09803922,0.31578947,5.0624984912578785,6.833952820966808,"sa3009220"
"Royber Salinas","ATL","SIRP","A+","21.3222222",,19,"70 / 70","","60 / 60","45 / 50","30 / 35","40",39.1,0.39411765,0.14117647,0.52173913,2.2881357781471463,3.4897351154013143,"sa3009243"
"Edinson Batista","HOU","SP","A","20.2138888",,25,"40 / 45","55 / 60","45 / 50","30 / 40","35 / 60","35+",25.1,0.25581395,0.14728682,0.44262295,7.460527251962267,5.098837782555046,"sa3009266"
"Joel Ibarra","LAD","MIRP","A","20.0722222",,23,"60 / 60","55 / 60","","40 / 45","20 / 40","40+",22.2,0.31,0.15,0.42307692,5.161763981964451,3.793651223581316,"sa3009326"
"Angel Chivilli","COL","SIRP","A","20.0222222",,34,"45 / 55","","","50 / 55","30 / 50","35+",38.2,0.28301887,0.05031447,0.54639175,3.491378851084367,2.716296025080716,"sa3009470"
"Yaifer Perdomo","ARI","SIRP","A","20.9722222",,42,"40 / 60","","40 / 50","","30 / 50","35+",41,0.4,0.12222222,0.36708861,3.951219512195122,3.613477524024684,"sa3009484"
"Jorge Gonzalez","LAD","SIRP","CPX","19.9333333",,50,"45 / 55","50 / 55","","30 / 45","20 / 45","35+",19.1,0.20833333,0.15625,0.4,7.448277086763889,5.031147416290132,"sa3009504"
"Edgardo Henriquez","LAD","SP","A","20.1166666",,14,"60 / 65","55 / 60","50 / 50","30 / 45","30 / 50","45",34.2,0.33112583,0.1589404,0.48611111,4.932691583972112,4.933648258092223,"sa3009613"
"Reidis Sena","BOS","SIRP","A","21.3305555",,60,"55 / 60","40 / 50","","","20 / 35","35+",22.1,0.32291667,0.13541667,0.54545455,3.2238810559003825,3.986318187295749,"sa3009626"
"Misael Tamarez","HOU","MIRP","AA","22.5555555",,24,"50 / 55","45 / 50","","50 / 55","30 / 40","35+",76.2,0.31692308,0.11692308,0.39204545,3.7565214899131782,4.588607229362924,"sa3009632"
"Angel Bastardo","BOS","SIRP","A","20.1333333",,44,"50 / 55","45 / 50","","45 / 50","30 / 40","35+",29.2,0.2244898,0.08163265,0.54545455,6.674156588205425,4.242467265735764,"sa3009716"
"Daniel Robert","TEX","SIRP","AAA","27.9333333",,42,"55 / 55","60 / 60","","","35 / 40","35+",22.2,0.46666667,0.05555556,0.43902439,2.779412544310105,1.7479560754601102,"sa3009856"
